id,evaluation
9072605,equal
30699785,black
7718920,equal
27031959,black
15035769,equal
4069659,equal
432392,equal
18721578,black
9127650,white
35210890,white
29612169,equal
3837434,black
30072513,equal
23818025,equal
30998853,black
28868316,black
14234822,white
25772589,white
13597095,black
3560662,black
27266362,white
15489522,equal
8217899,black
5284216,black
15515785,equal
19148193,white
11642915,equal
4191967,black
35405843,equal
3223561,black
24015163,white
9240848,black
36644588,black
32327653,equal
13573163,white
5127499,white
33085063,equal
16596722,equal
35401137,equal
14716563,equal
10719102,black
4423272,white
30769617,white
30602786,equal
32928930,black
34548525,equal
29473287,white
9820944,equal
31467955,equal
34709765,black
14218680,white
14311747,black
20855586,equal
3760695,white
6342530,black
1745436,equal
1439983,equal
5140113,black
30645228,black
31383151,black
22978927,equal
411784,equal
5020798,black
35524541,equal
8915942,black
31222046,white
19616602,white
7621884,black
14941358,black
10944065,black
2528609,black
34471537,black
17410706,black
11241986,equal
23027193,black
6951048,equal
747584,equal
24986501,black
13809424,equal
4616027,black
9118352,white
1670689,black
17561809,black
25738737,white
24873987,white
13104076,equal
23326499,black
10846721,white
16737645,black
4688533,equal
10797484,equal
29229435,white
22753689,equal
14968487,white
29290727,equal
17699993,black
19877262,black
14150665,equal
6873568,white
33234201,equal
31868146,white
27856055,black
15753884,equal
31731348,white
1781776,equal
30307482,black
6244454,white
7145648,white
27788560,black
15208767,black
24711859,black
10586454,white
22161485,equal
16797683,equal
35721261,equal
10028247,white
10608950,white
35436666,equal
28365042,white
4192399,white
3455699,equal
14669886,equal
20234641,black
10683572,black
16186868,black
20403385,white
19193092,equal
33634459,equal
24710093,equal
7733036,white
1112659,white
9532602,equal
31200618,black
11569533,white
20978044,equal
23143609,black
7070331,equal
5643993,black
27112667,equal
31515581,equal
32490645,white
7013625,black
10168326,black
19420129,black
5668381,equal
4608143,black
5197760,black
22682711,equal
2274361,white
15344948,black
20383380,equal
16805522,equal
3736030,equal
20098135,black
31034797,equal
8679192,equal
7048497,white
30020354,black
34712625,black
24664599,black
321203,black
4276507,white
27854783,equal
37127707,black
9890536,equal
19740272,white
2077108,black
24793830,equal
23267244,white
4001115,white
20539089,equal
13893213,black
2669637,equal
20373144,black
8778766,white
29038374,black
12806100,equal
25754247,black
26445787,equal
35844869,black
34537625,white
10053708,black
3965730,equal
19566384,black
13181988,black
8372855,black
30995732,equal
12631343,black
11563694,black
30226245,equal
33691661,white
10863796,equal
8753724,white
15834722,equal
14450232,equal
15862607,equal
10905782,white
1304823,black
27799619,black
33889881,white
36313757,black
7156631,white
28224246,white
3998567,black
13827554,black
5697131,black
25804110,black
12208714,equal
4874472,black
12437744,black
7895670,black
3297345,equal
36435798,equal
10639674,black
33663430,black
33066887,white
7943883,black
31043669,equal
597639,equal
14801803,black
12781979,black
27897902,equal
11652593,white
30182668,white
20145234,black
23502142,black
21705956,black
3100920,equal
16421552,black
18928517,white
32544005,black
18530159,black
34725014,black
30416100,black
11548575,equal
15615617,black
26207606,black
29451515,black
17439828,white
12081946,white
31857663,white
7911517,black
34458127,white
17225095,black
19787040,black
2165957,black
9295532,equal
2390427,white
6554288,equal
2549862,black
31484788,white
17710466,black
10620934,white
19755682,black
18864501,white
14608338,black
3823098,black
14640134,black
28864791,black
13897661,white
33797172,black
29884610,black
29407143,equal
18090422,black
24791230,black
17764254,white
32068979,black
29739234,black
33194475,equal
28959557,equal
28030454,black
442485,white
21866607,black
942294,white
1895499,equal
18292941,equal
15894442,white
24738560,equal
21728714,black
9060896,equal
19830671,white
33995551,equal
25031025,equal
36130061,white
29794137,white
17965770,equal
15196441,white
35792468,black
16133556,black
31353900,black
7293594,black
20980189,equal
33739491,equal
21634039,black
10893250,black
12128579,equal
32258390,black
13991953,black
19976817,black
4946489,equal
30701635,equal
14486585,equal
9384147,equal
17085852,white
36876461,black
31860687,white
19670154,equal
31411126,equal
34971860,black
36370107,white
4101003,equal
32372508,equal
28048729,equal
23948268,black
4784474,black
27792656,white
13451734,white
21924066,black
17827848,equal
25192793,white
13829901,equal
18052390,equal
27062464,white
29464398,black
11437802,white
114100,equal
9929066,black
17118193,white
11394368,black
3743331,black
2738245,black
30616662,black
21863620,white
14284485,black
17212423,black
33387654,equal
27048688,equal
24575968,white
2440915,black
18027668,equal
11461998,black
5798982,white
34719695,white
5266067,black
34121521,black
22158967,black
17328260,black
23298451,equal
1881281,white
2074401,equal
2511728,white
11189708,equal
32011065,black
7306234,equal
35674316,equal
20269228,black
16553864,white
21458311,white
6746271,equal
23207125,equal
22092518,equal
11645986,equal
7828199,black
536649,black
30768544,equal
14123398,black
13776762,equal
22626630,equal
16563533,black
9500396,equal
6014266,black
16512802,white
18649492,equal
22689965,black
6000910,equal
32339617,equal
8398014,equal
7478931,equal
8003896,white
26857782,equal
18096185,black
4156295,black
15385989,black
9889473,white
3071457,equal
35305183,white
15431417,black
29172656,white
3046761,white
19251679,white
12514625,black
33237373,equal
22507686,equal
13041162,white
34676040,white
23568267,equal
20099387,black
26776589,equal
31739260,white
2157346,equal
21377448,black
31143087,white
33964721,white
10606963,equal
13190304,black
34189760,equal
391646,black
36936416,equal
30995689,white
28234529,black
3990956,black
9074474,black
24681187,white
31617398,black
1809506,white
13873166,black
24254366,equal
16829586,black
5992917,equal
9141473,equal
15539411,equal
24073295,equal
24087886,black
11577127,equal
1193934,black
9783478,white
20142236,black
16920471,white
31006813,white
32284722,black
14614320,equal
10467109,black
28694027,black
23559123,equal
35455224,equal
28369423,white
14297360,equal
6467479,equal
5246789,white
21173535,white
13745010,equal
5761074,equal
24356202,black
35882062,white
22247092,black
28246247,black
541780,equal
11659634,white
28905737,black
16634277,equal
36894882,equal
30790944,equal
15332962,black
12655097,black
31646285,white
37126495,black
28510902,white
26471818,equal
5472478,black
34450704,white
5153353,equal
22216553,black
29641850,white
26676017,white
6959872,black
8262903,equal
16457095,white
32156003,equal
4808706,black
6098744,equal
7182531,white
31874278,white
20437879,equal
18466715,white
24771881,black
12770619,white
19520317,black
24476882,black
25629226,black
25205262,black
12200856,black
30478119,equal
7888803,black
34211257,equal
23862899,equal
27790480,black
702107,equal
16115943,black
29209440,white
20649753,black
18996882,white
16891929,equal
19157644,white
24449840,black
1714903,equal
11270996,black
13861552,white
13610898,black
29526178,white
4248476,black
36937046,black
37035599,equal
31264563,equal
5060129,equal
21891145,black
26033837,white
2152893,white
18572259,white
33526021,equal
8024591,equal
22374102,equal
22441451,white
4108868,white
31134603,black
11614645,black
17311290,equal
20627856,white
25635236,equal
24532869,equal
6027860,black
4044730,equal
36483661,white
32437524,equal
32552344,black
25874038,equal
413219,equal
34984218,black
27318300,white
10724248,white
31919867,black
17906756,equal
18542585,white
27161268,white
31151683,white
5985711,white
27989085,black
24121385,equal
36144806,white
8072822,white
25326266,equal
2304410,white
22520442,black
9212209,black
7266438,equal
28595090,white
814880,white
10660071,equal
23867400,white
27206882,equal
1983986,equal
6546852,black
13866478,white
11216882,white
2486453,black
25388642,white
34803421,black
8670600,equal
12291128,equal
2131766,equal
2753799,equal
13702905,equal
19067119,equal
16782032,black
1429689,equal
25302017,equal
26309653,black
29499654,equal
16225409,black
15807114,black
29818923,equal
33601040,equal
25006649,black
25830587,black
8290596,equal
35704440,equal
1814079,white
423925,equal
4862013,black
25978853,black
16622451,black
31971497,equal
8815883,white
15071680,black
6135217,equal
12696383,white
20813918,black
12068847,white
11984268,equal
34469350,equal
19604273,equal
19354345,white
27493168,white
8664857,black
3695193,black
7119602,white
19231801,black
36418948,white
27912200,black
29465725,equal
7513819,black
19280919,black
5943719,black
26978902,black
23383849,equal
13305399,black
22692488,black
2184569,equal
12871971,equal
19630864,black
5820017,black
34353172,black
21333203,black
21821547,black
12707918,white
10078104,black
31502097,equal
29388377,white
28251607,black
1146503,black
36130447,equal
12999762,black
18616387,equal
18818120,white
4550195,equal
7867189,black
26433190,equal
5480371,black
6567512,black
27195458,equal
325746,black
3193980,black
19044490,black
25533724,equal
14336416,white
17218925,equal
7498179,black
36505955,white
20198487,black
14642402,equal
29085793,white
29083968,equal
9664220,black
10112440,equal
29955897,white
1150758,black
6777531,white
14391731,white
10249020,white
20795139,equal
16427825,black
2775124,black
1215282,white
15779091,white
28375653,white
15408741,equal
19078042,equal
4976483,white
33968826,equal
32488516,white
9413360,black
32947657,black
2853281,white
10658905,equal
3790041,black
26679551,equal
18303259,equal
15149668,equal
24165584,black
22144680,equal
31335078,equal
28753589,equal
4745928,black
5052841,equal
4966970,equal
3078478,white
6027614,black
31828558,white
952477,equal
17533544,equal
10749323,equal
36685273,equal
19617921,equal
5503768,white
18621025,black
28192238,black
28722207,equal
4419429,equal
543640,equal
24225578,white
30745417,white
7710830,equal
32837889,white
32321291,equal
20972010,black
35200223,white
1975234,equal
15878962,black
7678058,black
3317075,white
29087714,black
7483828,equal
19294834,black
24623483,white
32717246,black
1574665,black
28949814,black
11433175,equal
6365719,white
27349496,equal
3798,white
22128222,equal
29590945,black
5532340,equal
33693730,equal
20878826,black
11437619,black
20285984,white
6623901,black
14577844,equal
36649580,equal
8791993,white
4248527,equal
16172272,black
4648254,equal
23885361,equal
15655903,black
4987835,white
4997817,black
34734931,black
5749631,black
27548940,equal
2804293,black
26217556,black
13642461,white
10980137,black
33098977,black
11947760,equal
16131551,equal
7681304,white
36957308,equal
18967250,black
23901635,white
3436128,equal
23996186,black
3332268,black
27176946,equal
10643854,black
12883500,equal
32843269,black
10555305,equal
12244466,white
8842862,black
30788685,equal
184316,equal
16193554,equal
3363679,white
20508009,black
17790146,black
27012791,equal
17047262,equal
5830715,white
23250224,black
20585887,equal
25351931,equal
508797,equal
7089436,black
31246442,white
21400671,equal
1965841,equal
719554,white
9368318,white
12867156,equal
11533310,black
22787096,white
23204667,equal
32012898,black
29922299,equal
26498142,equal
31365739,white
8301914,black
27825828,white
24589264,equal
20806037,equal
8922180,equal
4207259,equal
24225034,equal
6995013,equal
13236798,white
25127765,white
12036823,equal
20616253,equal
23849124,black
20030744,black
24867687,equal
18458493,white
28510176,equal
9059079,black
12582587,equal
1820307,black
36418646,black
2524612,white
28721541,white
27187773,white
1102797,white
29998665,equal
15799895,black
22930384,black
17687477,white
2784912,equal
1916085,equal
16490544,equal
20438717,equal
37020054,black
9524433,black
21826247,white
834631,equal
27116692,white
10701599,white
14098599,white
24007546,equal
31257610,black
14697493,white
15943077,equal
28087043,black
2514968,equal
23120275,equal
26517614,black
28384830,white
12574156,black
13197652,white
519539,white
25679180,equal
2491178,white
27824310,equal
14109945,equal
3251015,white
32212602,white
15418132,white
7901041,black
27085116,white
31324223,equal
12933508,black
2375278,white
31322665,equal
7213570,black
34604830,equal
21467038,equal
34060905,equal
28133097,equal
21814793,white
9347375,equal
17429724,white
8661498,white
22518397,black
31160108,black
8120330,black
37043839,equal
7399026,black
2157816,white
16817178,equal
35898080,black
3303787,equal
1563563,black
4395970,black
17773149,white
21556173,white
23244020,black
19110057,equal
4816307,equal
7444139,black
16299045,white
15821354,black
15796990,equal
9419786,black
10923724,equal
26473027,black
17892118,black
36739021,equal
28466644,black
14693978,white
21622049,black
12544165,white
25139850,white
19661653,black
9545732,black
27341592,black
19053206,black
14617155,black
21558279,equal
13659657,black
9338287,white
24197771,white
36304818,equal
31787423,equal
16462436,black
6474546,black
20909799,equal
8879861,white
11857196,equal
33516318,white
37104717,equal
10965478,equal
29933677,white
23529266,equal
6225154,black
24176917,equal
25288373,equal
16892621,equal
20190,black
25380197,white
33806677,equal
13610431,black
10749271,black
12201302,black
6734660,white
34245507,equal
29756327,equal
20130791,white
665456,equal
31958383,equal
23923813,equal
22400611,black
35662187,black
7223343,equal
15680114,white
24159429,black
30986381,equal
30797012,black
18794944,white
3610500,white
23894706,black
27430152,black
37152566,black
23849954,black
32163393,equal
24777137,black
28761872,equal
29946141,white
14585959,equal
26480508,black
16447350,equal
16516936,white
3327872,equal
8468828,equal
25165811,equal
34401260,equal
11401282,white
28554816,black
21164315,black
5587437,equal
14705829,white
29616924,equal
30392869,white
6892827,black
30315904,white
5440413,black
12000550,equal
20582556,equal
31944078,black
15292099,black
5183219,white
30856950,white
13287552,white
27930371,white
8825680,white
1608069,equal
20126378,equal
5279857,black
24004528,equal
36770613,white
8246109,equal
32750453,white
5036474,black
12272830,white
2482188,equal
22803883,black
4103710,white
12082373,equal
2345299,equal
14174979,black
14800711,equal
14021410,black
24422670,equal
19904590,black
34923224,black
15220457,black
7969178,black
29237056,white
555363,black
31711890,equal
9773207,equal
28322642,black
10942559,black
30973038,equal
22340491,black
22032849,white
15511937,equal
12285790,black
4352029,equal
34691824,white
15505028,equal
15706930,equal
35703001,black
2115454,equal
8818462,equal
6460727,white
24947872,white
4396500,black
27782387,equal
13099339,equal
32214619,white
27856311,white
28746305,white
10303871,black
11666470,equal
1844122,white
15419278,equal
2338540,equal
20107220,black
21281683,white
11182783,equal
5573630,black
18546673,equal
18461811,equal
27571018,black
1758318,equal
33258269,black
27367086,equal
13017998,white
3087659,black
5733184,equal
6182037,white
4763013,white
1435469,black
9283234,black
30459884,black
13190945,equal
14978499,black
29977227,equal
4559012,equal
22986713,white
332548,equal
35885226,black
1157434,black
33845233,white
21214485,black
14136341,equal
36240577,equal
1631503,black
28254543,equal
1524965,equal
27255530,white
29333530,white
24815528,equal
1958575,equal
30887467,equal
21734546,white
31917657,equal
30826737,white
24563208,equal
28287059,white
35270112,black
28020399,black
1036230,equal
34050393,equal
4934252,black
18150717,black
20286856,white
3063598,equal
19311320,equal
35089945,white
17517788,equal
30361370,white
24504986,equal
24145574,black
547525,equal
11115335,black
29595512,white
19808318,equal
34243943,black
1915542,white
3716961,equal
15609259,equal
31215203,equal
22120317,black
32086088,equal
17386777,white
10150459,black
7795644,equal
2436820,white
11941167,equal
18663202,black
8599466,white
8101609,equal
34264478,equal
14888748,black
6420552,black
13717187,equal
4161040,equal
15056261,white
2822137,white
11643540,black
28193743,black
30159446,black
13553092,white
7505619,black
18387761,equal
15003891,white
2119853,black
33516997,black
3272691,equal
5400667,equal
29841674,equal
35115609,white
4503460,black
15255342,white
24373891,black
33261567,white
15894963,white
15675585,equal
31513858,white
20976019,equal
21087471,white
30592986,white
21016940,white
19731920,black
9061257,equal
30384336,equal
35871195,white
21501896,white
28396067,white
10698994,white
35624103,white
27538113,black
6093448,white
32095336,equal
5168270,equal
9440462,white
21350179,black
30227667,black
15315313,black
12542065,equal
33614462,white
20633305,white
18374798,white
6629992,equal
16706967,white
5668069,equal
4478667,equal
13032003,equal
21788976,white
21580366,equal
4430506,equal
20865736,equal
26539287,white
29333822,equal
1023693,equal
28929068,black
16330560,black
16921509,black
34999635,white
12416527,equal
24041494,black
672387,black
2175164,equal
24816879,black
10898360,black
13429449,equal
3971988,white
29884935,black
28245451,black
15947181,equal
22808289,white
14561675,white
23278875,equal
11357677,equal
13702298,white
21346913,white
23213388,black
15692448,black
13713868,white
1710171,black
37122468,black
19895886,black
3236397,equal
3617110,black
4131184,black
22134554,black
12935569,black
11086641,black
20512036,black
12271118,white
21810496,black
28412530,equal
25871381,white
23689683,white
27944127,equal
18817989,white
1290878,black
2785498,white
21123409,black
4117825,white
37038709,white
15309583,black
6285919,white
26634895,equal
862321,equal
10187520,white
18594810,equal
701094,black
10579381,black
10662449,equal
8743019,equal
8261119,equal
34667465,equal
23491173,equal
10454057,equal
15932439,white
4803735,white
4409119,equal
33506939,black
8315364,black
20846731,equal
4258163,equal
29853473,black
24269605,black
4512837,black
8930452,white
19063136,equal
50001,equal
28958082,black
19719520,equal
36745652,black
19894029,white
32537124,black
36368074,equal
14529635,equal
5470812,black
36177706,equal
36831594,black
21530030,equal
36467772,white
13745656,equal
24069777,black
15611160,equal
14362324,black
12824203,black
34415961,white
6256414,black
19072323,black
23112571,equal
21764739,black
7406010,black
30749177,equal
7403948,equal
10266905,black
24986416,white
28057584,black
4449067,equal
27496116,equal
6691715,equal
33372662,white
13769440,equal
32026935,black
23301061,white
12142891,black
33577585,black
30350211,equal
1419335,white
22053664,equal
33245438,black
29029319,white
21896549,black
16214046,white
3443861,equal
20788094,black
17178831,equal
9451809,white
18078547,black
26675613,black
35461391,black
14862232,equal
13891168,black
34071631,black
32408432,black
12691803,white
20269854,white
20460954,white
33014466,white
17126255,white
7556041,equal
22304257,equal
3586105,equal
10490096,black
15350911,equal
33838775,black
15672782,equal
22325697,equal
2492404,white
858640,white
21619800,equal
9946031,white
27632012,equal
28937198,white
1010349,black
3053221,black
2066718,white
26680941,equal
3434561,white
25848558,white
10505848,white
21403220,white
6952388,equal
18433079,black
7775194,white
1528538,white
31141790,black
843034,equal
791874,black
31511973,equal
30257446,white
21430560,equal
35312329,equal
33747662,white
10366832,equal
18106452,white
30117210,black
21153910,white
2380328,white
13600965,white
28110364,black
13434309,equal
13931547,equal
12593397,black
33255139,black
35258260,black
36127910,equal
6589694,white
11151628,equal
8157072,black
34654112,equal
2093663,equal
10870384,black
32642974,white
33791796,white
4843378,white
9237606,black
12710576,equal
22958781,black
21414214,white
8909262,equal
11846544,black
33113829,equal
29215395,white
21852337,black
9278789,white
1090002,white
19090024,equal
17329914,black
5650420,equal
1910042,black
11977098,black
29692701,white
4442061,black
10761513,white
16639263,white
7048896,equal
28744026,black
1333481,equal
29819065,equal
5946412,white
28948680,equal
2726712,equal
31393512,black
36704506,equal
11379697,black
12147867,black
28071618,black
31179870,black
29153708,equal
24013518,white
10180923,white
21564830,black
26711099,black
7765712,white
3007145,black
19456463,black
4772461,equal
29667898,white
28438300,equal
19735673,black
35543699,black
24505085,equal
32164516,white
4676108,white
10323072,equal
17222603,equal
21996771,white
5021030,white
36706864,black
12010287,black
29750021,white
16072941,black
18557588,equal
8721627,equal
31434674,black
34600130,equal
4477308,equal
29018774,black
15222995,equal
13668263,equal
36377025,black
19050711,white
10436426,equal
25536064,black
15434043,black
23726746,equal
61376,white
26843866,white
19308437,white
23723060,equal
27947180,white
6470764,equal
9020096,white
20970878,black
10342729,white
24850716,black
7572251,black
12384377,equal
3625742,black
12086704,equal
8605130,white
29018308,equal
25857671,black
25475275,black
34269715,white
29096243,white
34402326,black
16281088,white
25766914,equal
11739350,equal
9394653,equal
7049804,black
5081288,equal
23566710,white
36753474,black
2764806,equal
34327753,equal
27803670,black
7826610,white
21519257,white
19590189,equal
31818550,equal
3813829,white
17338962,black
5813830,black
23306779,black
12953008,black
19782621,black
31425596,equal
2291689,equal
26119269,black
5188394,black
26672477,black
26097218,white
37011720,black
20004938,black
17529314,equal
8832147,equal
10442383,white
8423768,white
3998849,black
35224357,equal
34343754,white
23683156,black
30078641,white
23597211,equal
25491258,equal
3337144,black
20107041,equal
875315,black
14231760,white
20724009,black
32994189,equal
23186961,black
15850375,equal
24551015,equal
15326584,black
19438833,equal
19114762,equal
33556381,white
17124486,black
13973816,equal
27889678,black
14749757,black
17793412,white
11157053,white
32891726,equal
22066632,equal
3904651,equal
10372249,white
11488963,equal
12488235,black
26444411,equal
285167,white
23966995,white
5164076,white
6217895,white
19765666,equal
34620204,white
15656951,equal
20095314,white
19702579,equal
6690451,black
2424821,white
580473,black
27992549,white
36012559,equal
32161277,black
2590929,white
11279500,equal
19079406,equal
31667071,white
15334148,black
29523321,black
8613796,black
9548047,white
17669282,black
17566817,equal
31947487,white
17872641,equal
3447097,equal
29478169,equal
13010306,black
18446765,equal
32052776,equal
20292979,black
35088792,equal
31289423,black
9028903,black
8433545,black
3786792,equal
913124,equal
13518159,white
24562151,equal
14133875,white
13086221,black
9682976,white
11662536,equal
17771615,black
9863573,white
29377182,equal
7852048,equal
33421854,equal
28239126,equal
29287911,white
13487372,black
16165464,black
36858009,black
14495874,white
12347937,black
37090130,equal
31667184,black
432474,white
28249759,black
11369736,equal
7203189,black
5193353,white
9793078,white
7147665,equal
28841434,black
30143966,equal
25969833,white
36639657,equal
29083323,black
32862846,white
31064898,white
33702344,equal
32024701,black
23139863,equal
16239620,equal
17320982,black
36153467,equal
33326768,black
9601526,black
30409951,white
22952143,black
22932988,white
36843301,black
14964291,equal
14242830,black
11904185,black
1350103,black
22346252,black
19609389,black
19588638,equal
2859147,equal
34183279,black
2704504,white
34311832,equal
226162,black
1772353,equal
8338354,equal
27132878,equal
25524125,black
20893380,equal
15522680,black
36246161,black
19613901,equal
23871817,equal
19683464,black
1157560,equal
24855883,white
33038222,equal
28638562,equal
17247471,equal
22610302,black
27516479,white
29556312,equal
27508350,black
17803313,black
20030632,equal
20115302,white
24421076,equal
32978893,black
14012068,black
13495132,white
9569099,black
2668285,white
22699456,white
21832133,black
8348089,equal
5834899,equal
9829260,equal
18717586,black
6031043,equal
33464715,black
12222671,equal
27142609,black
5069537,equal
15008649,equal
14371059,white
23253784,white
5996584,black
16692623,black
28781943,black
4224984,white
15350187,equal
17041240,equal
10997968,equal
8490845,black
29322462,black
15467870,equal
12373868,white
5632512,black
12668061,white
9706051,black
30945041,equal
9087525,white
31131287,equal
26762995,black
58944,black
16982433,equal
22880433,equal
12600215,black
22886185,white
14183871,white
2788930,equal
7029809,equal
1116191,black
7058993,equal
33114441,white
32233236,white
3688924,equal
12871035,equal
18339410,equal
18311175,white
24325682,white
29918496,white
1795320,black
16571730,equal
7472493,equal
33972789,white
9901649,white
8095031,equal
8879587,black
4135500,white
28233340,black
21916023,equal
18803132,equal
15755464,black
36086443,equal
30813100,black
21332702,black
13989333,white
17294432,black
9850466,black
34887004,black
20074839,white
3779536,white
544367,black
26816860,equal
1623312,equal
24846022,white
6121940,white
36999443,black
30904193,equal
27935372,white
5887267,equal
932686,black
6398766,white
36148916,white
707917,black
35917144,white
8789665,equal
22422760,white
21028728,white
15757223,black
4857526,equal
8776894,black
23371460,black
4830025,white
8830780,equal
30161124,white
29006099,white
33673603,black
32748716,black
4845330,equal
33317909,black
29145240,black
12520089,equal
2045607,equal
15321482,equal
7743431,equal
11996121,equal
30877465,equal
25633778,equal
1458245,equal
4131735,equal
34160322,black
20901557,black
9773593,black
28805790,black
28096036,black
6197795,equal
21752291,equal
11306167,white
30230232,black
2661149,equal
5157939,black
26062546,black
28092363,white
16949333,equal
26853196,black
14379372,white
31100653,black
21981581,white
34301107,equal
7032108,black
30909553,white
21807253,black
3548219,white
12750481,white
15368359,equal
35986173,equal
23297162,equal
9477911,equal
21533527,white
14684312,black
17821317,black
25485107,white
34827394,equal
14850813,equal
10136060,white
29650398,white
19720029,white
4055242,black
17770160,white
16532885,equal
5583596,white
22319247,equal
16941492,equal
8265289,equal
13612225,equal
799751,black
18888627,equal
23638139,black
36326186,equal
35039574,equal
26592729,equal
7197919,equal
24344873,black
22617723,black
11337785,white
23055256,black
33995469,black
26043868,white
8742823,equal
22052384,white
18387141,white
14521797,equal
32723622,equal
19019648,black
33955879,white
24558050,black
6655053,equal
3765181,equal
11890294,white
18181835,black
33110424,black
6642977,black
15083557,black
21042956,black
25914950,equal
17183602,white
17072824,black
26654735,equal
18538947,black
32083043,white
983385,equal
11313230,black
28780419,white
4904398,black
19873873,white
15615392,black
4825741,white
31112924,white
12607972,black
9963236,white
25047081,equal
13806303,equal
5635370,equal
2877222,black
8567066,black
23023669,equal
16941747,black
24116211,black
6984017,equal
12347206,white
23903488,equal
13758715,black
23646047,black
25197786,black
34157056,black
7418661,equal
19936139,white
17851577,equal
36244291,black
28257518,black
411100,equal
36240765,black
31048733,white
33328566,black
8539768,equal
8825738,black
15397151,black
31529634,black
25643838,equal
28805393,white
16311080,equal
3575645,black
1805838,equal
30663373,white
5248182,white
21267107,white
11785278,equal
32770678,white
21859189,black
21527563,black
4832204,black
5030398,equal
1858443,equal
31106506,white
31636943,equal
1846698,equal
2904651,equal
6318600,black
35658369,black
17043569,white
10900888,white
5820532,black
8550446,equal
2226555,black
25636969,equal
19793009,white
21948897,black
7657489,equal
20192405,white
33380809,equal
20474985,black
23487596,equal
20507011,black
23165397,black
8080866,equal
16437095,white
27041854,black
27573819,black
35213665,white
30478662,black
34346848,equal
13774333,equal
33547785,equal
28731896,equal
29753898,black
30127240,white
2254107,black
17816538,equal
35121814,black
9158042,equal
26936588,black
18977867,black
34364239,white
2318686,black
18290368,equal
9683168,equal
10824411,black
30263789,black
26052004,black
29414817,black
15955872,black
32147565,white
2402888,white
13854592,equal
37026322,equal
22242343,black
11104736,white
30010964,black
36526306,black
25715082,black
20998683,equal
30152607,white
3408777,equal
8032776,equal
35180036,black
24499831,equal
32035921,black
20584532,black
32067800,black
11362496,equal
8274016,white
6399152,equal
22031113,white
27256805,white
36140495,white
33423008,equal
9133994,equal
7969525,black
25380334,equal
34109823,equal
13107768,black
36648983,black
657852,equal
22694204,black
5131751,equal
8755316,white
15362771,black
18527905,equal
13622666,equal
22459240,white
5826191,black
35325187,white
17870654,equal
12713222,black
33184206,equal
12943917,equal
4402707,black
3058260,black
27913112,white
34019195,black
14635836,white
32704674,black
20365916,white
24313540,white
9285641,equal
32084594,equal
13607718,equal
24170157,black
5618779,equal
29552100,white
24294968,equal
2400286,black
19402331,black
27914664,white
30340759,black
10731893,white
6683005,black
26979937,equal
